(Cisco Controller) >show ap summary



Number of APs.................................... 129


Global AP User Name.............................. swadmin

Global AP Dot1x User Name........................ Not Configured


AP Name             Slots  AP Model              Ethernet MAC       Location          Country     IP Address       Clients   DSE Location  
PhotoProductFutureRoom  2     AIR-CAP2702I-A-K9     00:35:1a:46:99:54  default location  US          172.22.40.121      0       [0 ,0 ,0 ]

AP881d.fcad.95ec     2     AIR-CAP2702I-A-K9     88:1d:fc:ad:95:ec  default location  US          172.22.40.158      3       [0 ,0 ,0 ]

AP78da.6e52.58dd     2     AIR-CAP2602I-A-K9     78:da:6e:52:58:dd  default location  US          172.22.40.244      12      [0 ,0 ,0 ]

AP5c83.8fcc.5540     2     AIR-CAP2702I-A-K9     5c:83:8f:cc:55:40  Retail Store- Ba  US          172.22.40.91       5       [0 ,0 ,0 ]

DIA1-AP-02           2     AIR-LAP1142N-A-K9     ac:f2:c5:06:8c:ce  Diner - Crescend  US          172.22.40.116      6       [0 ,0 ,0 ]

Diner-AP-05          2     AIR-CAP2602E-A-K9     10:05:ca:5e:52:9f  Diner             US          172.22.40.187      5       [0 ,0 ,0 ]

AP78da.6e52.5d43     2     AIR-CAP2602I-A-K9     78:da:6e:52:5d:43  default location  US          172.22.40.102      2       [0 ,0 ,0 ]

AP885a.92a7.657b     2     AIR-CAP2602I-A-K9     88:5a:92:a7:65:7b  default location  US          172.22.40.233      27      [0 ,0 ,0 ]

AP885a.9270.ae98     2     AIR-CAP2602I-A-K9     88:5a:92:70:ae:98  default location  US          172.22.40.216      12      [0 ,0 ,0 ]

WH2-04               2     AIR-CAP2602E-A-K9     88:5a:92:c0:c3:b2  WH2               US          172.22.40.242      0       [0 ,0 ,0 ]

AP5c83.8fdb.1ed0     2     AIR-CAP2702I-A-K9     5c:83:8f:db:1e:d0  default location  US          172.22.40.84       4       [0 ,0 ,0 ]

WH2-02               2     AIR-CAP2602I-A-K9     78:da:6e:0f:67:1c  WH2               US          172.22.40.240      16      [0 ,0 ,0 ]

Service-01           2     AIR-CAP2602I-A-K9     6c:41:6a:36:70:58  Service Tech Sup  US          172.22.40.167      5       [0 ,0 ,0 ]

AP6412.250b.1068     2     AIR-CAP2602E-A-K9     64:12:25:0b:10:68  Dinner            US          172.22.40.209      9       [0 ,0 ,0 ]

AP885a.92a7.61e5     2     AIR-CAP2602I-A-K9     88:5a:92:a7:61:e5  Studio-B-C-Hallw  US          172.22.40.247      4       [0 ,0 ,0 ]

Mall-AP5             2     AIR-CAP2602E-A-K9     3c:08:f6:09:8e:71  Mall              US          172.22.40.210      1       [0 ,0 ,0 ]

WH2-05               2     AIR-CAP2602E-A-K9     88:5a:92:a7:40:a2  WH2               US          172.22.40.241      0       [0 ,0 ,0 ]

AP6412.250b.0f88     2     AIR-CAP2602E-A-K9     64:12:25:0b:0f:88  Mall              US          172.22.40.212      3       [0 ,0 ,0 ]

APf4cf.e2fe.bc14     2     AIR-CAP2702I-A-K9     f4:cf:e2:fe:bc:14  Retail Store - O  US          172.22.40.154      7       [0 ,0 ,0 ]

Theater-AP-6         2     AIR-CAP2602I-A-K9     00:06:f6:3c:f1:06  Theater           US          172.22.40.114      0       [0 ,0 ,0 ]

AP3c08.f67b.fd40     2     AIR-CAP2602E-A-K9     3c:08:f6:7b:fd:40  Diner             US          172.22.40.188      4       [0 ,0 ,0 ]

Kitchen              2     AIR-CAP2702I-A-K9     f4:cf:e2:fe:d4:d8  DownBeatDinerKit  US          172.22.40.144      14      [0 ,0 ,0 ]

Warehouse-Security   2     AIR-CAP2702I-A-K9     64:f6:9d:14:ea:e4  Warehouse Securi  US          172.22.40.134      1       [0 ,0 ,0 ]

Warehouse4-AP02      2     AIR-CAP2702I-A-K9     5c:83:8f:da:ea:1c  default location  US          172.22.40.110      1       [0 ,0 ,0 ]

SW-SF1-CAP-23B0      2     AIR-CAP2702I-A-K9     5c:83:8f:cc:23:b0  Sales Floor       US          172.22.40.118      17      [0 ,0 ,0 ]

AP3c08.f609.8e2d     2     AIR-CAP2602E-A-K9     3c:08:f6:09:8e:2d  default location  US          172.22.40.196      0       [0 ,0 ,0 ]

Warehouse4-AP01      2     AIR-CAP2702I-A-K9     5c:83:8f:0b:73:2c  Store at Mynett   US          172.22.40.38       12      [0 ,0 ,0 ]

APe4aa.5d21.d488     2     AIR-CAP2702I-A-K9     e4:aa:5d:21:d4:88  default location  US          172.22.40.129      8       [0 ,0 ,0 ]

MDF-AP-12            2     AIR-CAP2702I-A-K9     54:a2:74:f2:8a:dc  Retail Store- St  US          172.22.40.90       3       [0 ,0 ,0 ]

ServerRoom           2     AIR-CAP2702I-A-K9     88:1d:fc:8e:e0:f0  default location  US          172.22.40.163      12      [0 ,0 ,0 ]

APd072.dcba.50cb     2     AIR-CAP2602E-A-K9     d0:72:dc:ba:50:cb  Mall              US          172.22.40.211      2       [0 ,0 ,0 ]

WH1-08               2     AIR-CAP2602E-A-K9     50:87:89:c1:2b:43  WH1               US          172.22.40.204      16      [0 ,0 ,0 ]

SW-SF1-CAP-1B98      2     AIR-CAP2702I-A-K9     5c:83:8f:cc:1b:98  Sales Floor       US          172.22.40.97       17      [0 ,0 ,0 ]

SW-SF1-CAP-6EB8      2     AIR-CAP2702I-A-K9     5c:83:8f:8e:6e:b8  Sales Floor       US          172.22.40.88       11      [0 ,0 ,0 ]

